company, date
"Apple", 2020-07-21
"Chevron", 2021-05-17
"Ford", 2020-06-24
"PepsiCo", 2021-06-29
"Mastercard", 2021-07-15
"Amazon", 2021-07-30
"Wells Fargo", 2021-07-04
"Google", 2021-08-13
"Microsoft", 2021-01-28
"Siemens", 2020-11-27
"Morgan Stanley", 2021-04-01
"Samsung", 2021-06-29
"Cisco", 2021-09-05
"Visa", 2021-09-01
"BASF", 2021-02-26
"Mc Donalds", 2021-08-19
"Johnson Johnson", 2021-06-09
"General Motors", 2021-07-16
"Facebook", 2021-06-21
"Blackrock", 2021-04-28
"JP Morgan", 2021-06-01
"TD Bank", 2020-03-06
"Boeing", 2021-07-26
"Walt Disney", 2021-02-04
"JetBlue", 2021-04-27
"Exxon Mobile", 2021-01-20
